 A.1 Summary Demographics ,,,,,,,,,,,,,,,,,A2. Economic and Housing Demographics,,,,,,,,,,,,,,,,,,A.3 Health Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City,Region,City Type,Metro-area, Metro-area population , City Population ,Population 2013,Population 2018,Population Trend* ,% Hispanic or Latino (of any race),White alone (%),% Black or African American,% American Indian and Alaska Native alone,% Asian alone,% Native Hawaiian and Other Pacific Islander alone,% Some other race alone,% Two or more races,Share Below 100% of the FPL,Share Between 100% and 149% of the FPL,% At or Above 150% of the FPL,Total Unemployment (%),Unemployment rate White alone,Unemployment rate Hispanic or Latino origin of any race,"Unemployment rate White alone, not Hispanic or Latino",Unemployment rate Black or African American alone,Unemployment rate American Indian or Alaska Native alone,Unemployment rate Asian alone,Unemployment rate Native Hawaiian and Other Pacific Islander alone,Unemployment rate Some other race alone,Unemployment rate Two or more races,Percent homeowner ,Percent renter,Renter housing cost burden 35 percent or more,Owner housing cost burden 30-34.9 percent,Owner housing cost burden 35 percent or more,Asthma,Housing with potential lead risk,Cardiovascular Disease Deaths,Physical inactivity,Park Access,Walkability Score,Uninsured,Limited Access to Healthy Foods,Obesity,Air pollution,Life Expectacy,Opioid Overdose Deaths,Low birthweight,Premature mortality rate,Drinking water violations,Average travel time to work all,Average travel time to work white,Average travel time to work black,Average travel time to work latino,Average travel time to work asian or pacific islander,Average travel time to work mixed/other,Average travel time people of color,Average travel time Native American,Transportation affordabilty,Renter housing cost burden 30-34.9 percent,Housing quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brownsville, TX",South,Center City,"Brownsville-Harlingen, TX Metro Area"," 421,750 "," 182,679 "," 177,795.00 "," 182,679.00 ",plateau,93.99,4.73,0.37,0.19,0.58,0.00,0.02,0.11,31.00,15.60,53.40,6.46,6.4,6.5,4.6,8.9,13.3,12.0,-,7.4,2.4,61.7,38.3,46.6,8.6,27.2,8.1,7.8,210.5,38.9,29.9,38.6,31.2,73.6,41.0,7.8,79.5,NA,8.4,6700.0,4.0,19.9,20.2,Not available,20.0,Not available,Not available,19.9,Not available,36.0,8.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fuquay-Varina, NC",South,Small Rural,"Raleigh, NC Metro Area"," 1,302,632 "," 25,932 "," 19,164.00 "," 25,932.00 ",growing,11.08,70.70,14.02,0.12,1.34,0.00,0.45,2.30,8.06,7.31,84.63,4.32,3.1,2.9,2.9,13.1,0.0,6.4,-,0.0,0.0,70.5,29.5,37.8,8.3,13.8,NA,NA,NA,NA,NA,NA,8.3,NA,NA,NA,NA,NA,NA,NA,9.0,NA,NA,NA,NA,NA,NA,NA,NA,23.0,7.4,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Garner, NC",South,Small Rural,"Raleigh, NC Metro Area"," 1,302,632 "," 28,731 "," 26,213.00 "," 28,731.00 ",growing,10.60,57.14,27.27,0.20,1.91,0.00,0.08,2.79,10.50,5.95,83.55,5.19,3.9,0.0,4.3,8.5,0.0,5.3,-,0.0,4.9,64.6,35.4,36.7,7.3,12.0,NA,NA,NA,NA,NA,NA,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.0,16.1,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Greenville, SC*",South,Center City,"Greenville-Anderson-Mauldin, SC Metro Area"," 883,853 "," 65,727 "," 8,003.00 "," 7,714.00 ",losing population,0.36,38.72,56.07,0.00,2.66,0.00,0.00,2.19,24.37,18.19,57.44,8.86,3.5,2.5,3.6,10.1,0.0,0.6,0.0,5.2,2.6,42.7,57.3,34.7,5.7,14.4,NA,17.3,NA,NA,51.1,43.0,10.9,79.3,NA,10.0,77.8,NA,NA,NA,18.0,22.2,22.3,21.4,22.9,21.0,19.6,21.8,NA,25.0,10.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gulfport, MS",South,Small Rural,"Gulfport-Biloxi-Pascagoula, MS Metro Area"," 391,293 "," 71,570 "," 69,004.00 "," 71,570.00 ",plateau,5.25,53.32,36.93,0.62,1.39,0.01,0.05,2.43,24.82,11.47,63.71,11.54,8.1,6.1,8.2,17.7,0.0,2.9,-,8.2,4.1,50.7,49.3,50.2,6.6,26.3,10.1,11.2,352.5,32.7,31.1,23.3,18.1,87.8,36.6,8.3,74.2,9.2,NA,11600.0,426.0,NA,NA,NA,NA,NA,NA,NA,NA,26.0,8.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Little Rock, AR",South,Center City,"Little Rock-North Little Rock-Conway, AR Metro Area"," 734,502 "," 198,135 "," 195,092.00 "," 198,135.00 ",plateau,7.26,45.74,41.63,0.18,3.06,0.03,0.30,1.81,17.38,9.58,73.04,4.27,3.2,5.4,2.8,6.4,0.0,0.7,7.0,1.2,4.4,56.1,43.9,40.0,6.5,19.0,9.8,15.1,247.6,31.2,42.3,31.9,9.4,75.7,34.1,9.7,76.8,6.6,11.0,9500.0,NA,22.4,23.1,20.3,20.5,23.0,20.0,20.5,NA,24.0,8.8,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Morrisville, NC",South,Small Rural,"Raleigh, NC Metro Area"," 1,302,632 "," 25,007 "," 19,720.00 "," 25,007.00 ",growing,4.90,39.82,11.91,0.41,38.18,0.04,0.23,4.51,5.76,3.29,90.95,3.58,3.5,4.4,3.4,6.3,0.0,2.9,0.0,0.0,0.0,48.4,51.6,21.7,2.7,12.8,NA,NA,NA,NA,NA,NA,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.0,3.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Richmond, VA*",South,Center City,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area"," 6,138,382 "," 223,787 "," 207,878.00 "," 223,787.00 ",growing,6.68,40.37,47.53,0.12,2.13,0.01,0.24,2.92,24.54,11.12,64.35,7.09,4.3,6.7,4.0,11.8,11.7,6.8,50.0,6.7,9.7,42.2,57.8,46.9,7.1,25.5,10.8,34.5,198.8,28.3,77.2,52.2,13.4,66.8,33.6,8.2,75.3,25.7,11.4,9300.0,23.0,24.1,24.2,24.0,24.8,22.4,24.8,24.0,26.5,18.0,8.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Roanoke, VA",South,Center City,"Roanoke, VA Metro Area"," 313,291 "," 99,621 "," 97,355.00 "," 99,621.00 ",plateau,6.13,59.03,28.24,0.17,3.05,0.03,0.28,3.07,20.52,10.91,68.57,6.85,5.8,8.5,5.6,9.4,0.0,4.6,100.0,4.1,11.8,51.8,48.2,42.8,5.9,24.6,10.4,33.0,209.9,33.3,64.3,42.2,12.5,67.1,36.3,7.5,75.0,21.5,10.1,10300.0,2.0,NA,NA,NA,NA,NA,NA,NA,NA,22.0,7.4,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rockville, MD",South,Suburban City,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area"," 6,138,382 "," 67,062 "," 62,130.00 "," 67,062.00 ",growing,15.87,47.20,10.96,0.12,20.11,0.00,1.09,4.64,6.62,4.14,89.24,4.57,4.1,6.6,3.6,7.4,0.0,3.6,-,7.4,5.3,56.4,43.6,40.7,9.0,19.9,NA,12.4,NA,NA,93.3,53.9,7.2,43.5,NA,8.4,83.2,NA,NA,NA,72.0,NA,NA,NA,NA,NA,NA,NA,NA,13.0,9.7,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Savannah, GA",South,Center City,"Savannah, GA Metro Area"," 381,623 "," 145,342 "," 139,620.00 "," 145,342.00 ",plateau,5.12,35.55,53.86,0.17,2.38,0.11,0.22,2.59,22.93,12.75,64.32,9.27,6.2,9.7,5.8,13.1,0.0,2.9,8.3,7.2,12.6,43.9,56.1,47.0,8.6,24.9,10.0,24.2,284.7,34.1,51.5,43.4,17.9,71.7,35.9,8.4,76.2,9.4,11.1,12200.0,11.0,21.3,21.5,21.2,20.4,22.8,NA,21.2,NA,23.0,8.4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tuscaloosa, AL",South,Center City,"Tuscaloosa, AL Metro Area"," 241,398 "," 98,881 "," 92,461.00 "," 98,881.00 ",growing,3.10,49.27,43.89,0.16,2.41,0.07,0.08,1.02,24.21,10.68,65.11,6.59,6.0,4.3,6.1,9.6,0.0,4.6,0.0,0.0,14.3,47.3,52.7,46.5,6.9,24.0,11.4,12.0,227.4,32.0,33.9,32.7,7.8,78.3,35.9,9.8,75.4,4.3,NA,10100.0,7.0,NA,NA,NA,NA,NA,NA,NA,NA,27.0,8.6,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wilmington, DE",South,Center City,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area"," 6,069,448 "," 70,904 "," 71,143.00 "," 70,904.00 ",losing population,10.23,29.23,57.36,0.18,1.22,0.04,0.24,1.51,25.14,10.98,63.89,8.44,5.1,7.6,4.8,11.4,0.0,1.6,0.0,3.5,15.4,44.8,55.2,45.3,6.5,27.7,12.0,40.9,296.9,37.8,99.1,74.6,6.5,34.9,39.3,9.2,74.5,40.2,NA,15200.0,11.0,28.9,27.8,33.0,27.9,31.1,30.0,31.3,33.4,16.0,7.9,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arcata, CA*",West,Small Rural,"Eureka-Arcata-Fortuna, CA Micro Area"," 135,768 "," 18,050 "," 17,559.00 "," 18,050.00 ",plateau,16.49,71.65,2.35,0.98,2.16,0.39,0.50,5.48,37.41,10.49,52.10,9.25,9.7,26.5,8.8,15.3,0.0,7.5,0.0,35.1,24.3,39.8,60.2,68.5,7.5,31.7,NA,NA,NA,NA,NA,NA,7.2,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,28.0,6.8,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beaverton, OR",West,Suburban City,"Portland-Vancouver-Hillsboro, OR-WA Metro Area"," 2,417,931 "," 97,012 "," 91,383.00 "," 97,012.00 ",growing,16.61,63.60,2.02,0.30,12.78,0.45,0.23,4.02,12.19,7.10,80.72,5.35,5.4,6.3,5.4,5.3,3.6,3.3,0.0,8.1,8.1,49.1,50.9,38.5,8.7,22.5,9.8,7.3,208.7,20.1,91.7,49.7,8.8,52.9,27.6,7.5,81.6,10.2,Not available,7300.0,17.0,25.7,25.5,28.9,25.9,24.8,26.6,26.0,28.4,21.0,9.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Diamond Bar, CA*",West,Suburban City,"Los Angeles-Long Beach-Anaheim, CA Metro Area"," 13,262,234 "," 56,434 "," 55,950.00 "," 56,434.00 ",plateau,19.28,18.99,3.78,0.30,54.86,0.56,0.09,2.14,6.27,6.34,87.39,5.85,5.5,8.0,4.5,10.0,8.8,4.4,23.1,8.0,18.4,75.8,24.2,48.9,9.2,31.0,NA,6.6,NA,NA,35.0,29.3,6.3,67.7,NA,12.7,84.6,NA,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,26.0,5.8,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eugene, OR",West,Center City,"Eugene, OR Metro Area"," 368,882 "," 165,997 "," 157,318.00 "," 165,997.00 ",growing,9.84,78.04,1.47,0.68,4.38,0.20,0.28,5.11,21.47,9.76,68.76,6.41,6.4,8.6,6.5,7.9,5.0,6.2,15.5,10.5,14.5,47.9,52.1,50.9,8.6,25.8,11.0,15.0,150.6,19.8,87.7,44.7,7.2,58.8,26.9,6.5,79.7,15.7,6.4,6900.0,10.0,20.3,20.2,Not available,20.9,17.0,21.6,20.7,Not available,26.0,9.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hilo, HI*",West,Small Rural,"Hilo, HI Micro Area"," 197,658 "," 46,284 "," 44,486.00 "," 46,284.00 ",plateau,10.65,16.13,0.56,0.16,32.10,8.99,0.12,31.30,19.02,8.32,72.66,5.58,6.0,14.1,5.3,30.6,0.0,2.6,9.1,14.8,7.0,60.6,39.4,46.2,7.3,22.0,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,48.0,NA,NA,NA,NA,NA,NA,NA,NA,27.0,5.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kailua-Kona, HI*",West,Small Rural,"Kailua-Kona, HI (Hawaii County)"," 734,502 "," 15,268 "," 13,143.00 "," 15,268.00 ",growing,14.89,26.66,0.48,0.08,22.37,18.93,0.31,16.28,9.65,7.41,82.95,2.78,3.3,2.8,3.9,0.0,0.0,0.0,5.8,3.9,2.9,51.1,48.9,25.4,6.4,32.2,NA,NA,NA,NA,NA,NA,9.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.0,13.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kirkland, WA",West,Suburban City,"Seattle-Tacoma-Bellevue, WA Metro Area"," 3,809,717 "," 88,079 "," 75,835.00 "," 88,079.00 ",growing,7.57,71.96,1.11,0.16,14.22,0.09,0.11,4.78,6.49,2.90,90.61,3.64,3.4,6.8,3.3,7.9,1.3,2.5,0.0,8.9,8.3,62.9,37.1,33.8,8.3,19.6,NA,9.0,NA,NA,92.1,47.6,4.1,59.2,NA,6.1,83.4,NA,Not available,Not available,1.0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,19.0,6.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Missoula, MT",West,Center City,"Missoula, MT Metro Area"," 115,983 "," 72,125 "," 67,710.00 "," 72,125.00 ",growing,3.36,88.64,0.55,1.88,1.91,0.14,0.12,3.41,18.27,9.03,72.70,4.23,4.7,3.5,4.8,5.8,4.8,0.0,0.0,25.2,3.1,47.4,52.6,42.2,8.9,22.4,9.4,18.4,199.5,22.8,75.1,46.2,7.4,68.4,22.8,7.9,78.9,NA,NA,7700.0,29.0,NA,NA,NA,NA,NA,NA,NA,NA,25.0,8.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nampa, ID",West,Small Rural,"Boise City, ID Metro Area"," 693,952 "," 91,663 "," 83,140.00 "," 91,663.00 ",growing,23.75,71.16,0.53,0.78,1.05,0.39,0.04,2.29,17.79,15.43,66.78,6.50,6.4,5.8,6.3,43.7,3.7,12.0,34.0,3.9,8.9,61.5,38.5,38.1,6.8,22.0,10.2,9.3,254.7,28.5,37.3,29.6,14.4,80.8,35.9,8.4,78.9,NA,NA,6900.0,99.0,21.1,21.1,NA,21.7,20.5,18.3,21.3,NA,26.0,10.8,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ogden, UT*",West,Center City,"Ogden-Clearfield, UT Metro Area"," 652,744 "," 86,126 "," 83,363.00 "," 86,126.00 ",plateau,32.47,61.20,1.55,0.72,1.21,0.23,0.03,2.59,19.58,12.08,68.34,5.83,5.4,5.5,5.8,10.6,16.2,3.0,0.0,10.2,3.7,56.4,43.6,37.7,5.8,18.7,10.0,27.1,235.4,26.2,79.6,45.6,14.8,64.7,33.8,8.3,77.0,26.5,Not available,10700.0,133.0,21.9,22.3,Not available,20.5,17.9,21.8,20.1,Not available,22.0,9.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oxnard, CA*",West,Suburban City,"Oxnard-Thousand Oaks-Ventura, CA Metro Area"," 848,112 "," 207,568 "," 199,574.00 "," 207,568.00 ",plateau,73.69,14.82,2.29,0.26,7.03,0.27,0.08,1.56,14.28,14.04,71.68,6.88,6.7,7.2,5.0,4.7,10.5,8.5,3.5,6.0,10.7,53.7,46.3,48.3,11.1,32.1,9.0,12.4,175.7,25.3,83.4,55.4,17.3,49.8,26.1,8.9,80.1,7.9,6.0,5800.0,5.0,25.6,26.6,25.2,24.4,26.7,24.3,24.7,Not available,0.2,11.7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Santa Cruz, CA",West,Center City,"Santa Cruz-Watsonville, CA Metro Area"," 273,765 "," 64,273 "," 61,245.00 "," 64,273.00 ",plateau,21.13,62.56,1.70,0.13,9.61,0.12,0.32,4.45,23.59,5.90,70.51,6.97,7.1,10.9,6.6,4.5,7.1,13.5,0.0,12.4,15.2,47.1,52.9,0.6,0.1,0.3,NA,25.8,NA,NA,95.5,62.4,5.7,53.9,NA,5.8,81.7,NA,Not available,Not available,5.0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,0.2,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Spokane, WA*",West,Center City,"Spokane-Spokane Valley, WA Metro Area"," 555,308 "," 214,804 "," 209,478.00 "," 214,804.00 ",plateau,6.47,81.37,2.08,1.52,2.58,0.79,0.08,5.11,18.31,10.26,71.43,5.91,5.4,8.4,5.4,9.5,18.8,2.8,19.1,10.7,9.7,55.2,44.8,41.6,8.5,21.3,11.2,30.9,202.7,22.1,82.3,48.6,6.2,58.5,29.3,9.7,77.6,13.7,7.9,9700.0,1.0,21.1,21.3,18.3,20.0,19.6,19.1,19.8,NA,23.0,9.9,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"St. George, UT*",West,Small Rural,"St. George, UT Metro Area"," 160,537 "," 82,194 "," 74,301.00 "," 82,194.00 ",growing,13.02,80.39,0.73,1.19,0.89,1.31,0.16,2.32,14.61,10.35,75.04,4.29,4.1,4.0,4.0,0.0,10.2,8.6,8.1,4.0,6.5,65.0,35.0,44.4,10.2,22.5,9.2,3.9,140.2,23.5,48.3,29.6,13.4,87.5,25.0,5.2,81.3,22.1,Not available,7100.0,48.0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,26.0,9.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunnyvale, CA*",West,Suburban City,"San Jose-Sunnyvale-Santa Clara, CA Metro Area"," 1,981,616 "," 152,323 "," 143,315.00 "," 152,323.00 ",growing,17.30,31.22,1.62,0.17,45.66,0.22,0.16,3.65,5.76,4.10,90.14,4.51,4.4,4.5,4.3,12.2,13.6,4.1,21.1,4.0,5.2,46.4,53.6,27.2,7.8,20.8,7.0,15.1,133.4,14.9,57.8,58.7,3.9,33.4,17.0,7.9,83.2,3.3,7.1,3300.0,5.0,26.3,25.9,28.1,25.6,27.0,27.2,26.5,Not available,15.0,8.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tempe, AZ*",West,Center City,"Phoenix-Mesa-Scottsdale, AZ Metro Area"," 4,673,634 "," 183,652 "," 164,742.00 "," 183,652.00 ",growing,22.38,56.77,6.17,2.39,8.78,0.25,0.30,2.97,21.26,8.67,70.08,5.09,5.2,4.8,5.1,6.7,5.0,6.7,0.0,3.8,7.6,40.1,59.9,41.5,8.0,18.2,10.4,7.2,194.9,21.6,64.1,53.3,10.1,48.9,26.1,8.1,79.4,8.4,8.6,6000.0,301.0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,21.0,8.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tigard, OR",West,Suburban City,"Portland-Vancouver-Hillsboro, OR-WA Metro Area"," 2,417,931 "," 52,368 "," 49,024.00 "," 52,368.00 ",growing,10.74,75.65,1.21,0.32,7.15,0.76,0.36,3.81,9.08,5.03,85.89,4.97,4.8,2.8,5.0,13.4,0.0,1.9,5.1,5.3,12.2,60.6,39.4,44.4,9.2,18.4,NA,7.4,NA,NA,73.1,41.1,7.9,62.6,NA,7.7,82.3,NA,Not available,Not available,5.0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,22.0,10.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vancouver, WA",West,Suburban City,"Portland-Vancouver-Hillsboro, OR-WA Metro Area"," 2,417,931 "," 178,413 "," 164,111.00 "," 178,413.00 ",growing,13.27,72.07,2.02,0.45,5.44,1.36,0.19,5.20,12.55,10.13,77.32,5.99,5.2,6.3,5.2,13.0,22.0,6.9,10.9,6.0,11.3,51.6,48.4,38.7,8.2,21.8,10.4,11.3,191.9,20.0,70.3,40.2,7.9,65.9,33.9,6.8,78.6,14.6,6.3,8700.0,49.0,25.7,25.5,28.9,25.9,24.8,26.6,26.0,28.4,21.0,11.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yakima, WA",West,Small rural,"Yakima, WA Metro Area"," 249,325 "," 93,416 "," 92,082.00 "," 93,416.00 ",plateau,46.40,47.89,1.07,1.33,1.16,0.02,0.06,2.08,19.88,15.31,64.81,6.86,5.8,7.7,5.3,12.6,18.1,2.5,100.0,9.5,12.9,55.1,44.9,38.4,8.8,22.4,11.3,24.3,189.4,28.5,64.9,49.6,13.5,59.0,36.8,7.8,78.2,10.7,Not available,8900.0,55.0,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,30.0,8.8,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Indicates municipality interviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
